,,,Overall,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Name,Born,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Ed Olczyk,1966,F,1031,342,452,794,874,-65,,,,,230,100,12,37,0,311,131,10,54,2,541,231,22,91,2,29.1%,,,,,,,,,,0.332,0.438,0.77,2576,13.3%,,,504,477,51.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Scott Young,1967,F,1181,342,415,757,448,-40,,,,,213,108,21,50,5,211,199,5,62,6,424,307,26,112,11,40.6%,,,,,,,,,,0.29,0.351,0.641,3501,9.8%,27,24,13,38,25.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Brian Rolston,1973,F,1256,342,419,761,472,65,,,,,211,98,33,72,6,247,162,10,76,7,458,260,43,148,13,34.2%,,,,,,,,,,0.272,0.334,0.606,3836,8.9%,423,163,2867,3250,46.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Adam Oates,1962,F,1337,341,1079,1420,415,33,,,,,226,103,12,56,5,646,410,23,176,17,872,513,35,232,22,36.1%,,,,,,,,,,0.255,0.807,1.062,2392,14.3%,,,6486,4770,57.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Dave Christian,1959,F,1009,340,433,773,284,-64,,,,,230,102,8,35,1,271,152,10,55,2,501,254,18,90,3,32.9%,,,,,,,,,,0.337,0.429,0.766,2167,15.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Al MacInnis,1963,D,1416,340,934,1274,1511,371,,,,,164,166,10,44,3,355,556,23,105,6,519,722,33,149,9,56.7%,,,,,,,,,,0.24,0.66,0.9,5157,6.6%,,,2,0,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Phil Housley,1964,D,1495,338,894,1232,822,-53,,,,,202,129,7,49,5,408,483,3,107,8,610,612,10,156,13,49.7%,,,,,,,,,,0.226,0.598,0.824,3808,8.9%,,,2,1,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Alexei Yashin,1973,F,850,337,444,781,401,-83,,,,,209,124,4,49,3,259,181,4,65,6,468,305,8,114,9,39.1%,,,,,,,,,,0.396,0.522,0.919,2828,11.9%,78,55,3917,4705,45.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Glen Murray,1972,F,1009,337,314,651,679,14,,,,,242,86,9,55,11,239,69,6,43,2,481,155,15,98,13,23.8%,,,,,,,,,,0.334,0.311,0.645,2576,13.1%,87,38,80,133,37.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Henrik Zetterberg,1980,F,1082,337,623,960,401,160,19:32,15:07,3:19,1:05,228,100,9,64,7,380,234,9,106,18,608,334,18,170,25,34.8%,0.956,1.768,2.724,0.836,1.394,2.23,1.666,3.899,5.565,0.311,0.576,0.887,3455,9.8%,512,322,7111,6893,50.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Ron Ellis,1945,F,1034,332,308,640,207,74,,,,,269,56,7,50,0,242,62,4,36,0,511,118,11,86,0,18.4%,,,,,,,,,,0.321,0.298,0.619,2333,14.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Wendel Clark,1966,F,793,330,234,564,1690,-130,,,,,229,101,0,43,7,162,72,0,32,3,391,173,0,75,10,30.7%,,,,,,,,,,0.416,0.295,0.711,2340,14.1%,,,4,5,44.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Zigmund Palffy,1972,F,684,329,384,713,322,83,,,,,218,92,19,45,5,213,164,7,62,4,431,256,26,107,9,35.9%,,,,,,,,,,0.481,0.561,1.042,2136,15.4%,4,11,15,22,40.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Mike Bullard,1961,F,727,329,345,674,705,-98,,,,,214,113,2,27,1,213,130,2,35,1,427,243,4,62,2,36.1%,,,,,,,,,,0.453,0.475,0.927,1847,17.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Kevin Stevens,1965,F,874,329,397,726,1470,-103,,,,,195,134,0,35,4,276,121,0,58,4,471,255,0,93,8,35.1%,,,,,,,,,,0.376,0.454,0.831,2331,14.1%,,,15,21,41.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Adam Graves,1968,F,1152,329,287,616,1224,-25,,,,,205,105,19,40,5,203,72,12,43,3,408,177,31,83,8,28.7%,,,,,,,,,,0.286,0.249,0.535,2855,11.5%,,,513,526,49.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Ken Hodge,1944,F,880,328,472,800,777,260,,,,,237,88,3,57,0,359,109,4,68,0,596,197,7,125,0,24.6%,,,,,,,,,,0.373,0.536,0.909,2126,15.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Scott Hartnell,1982,F,1249,327,380,707,1809,66,15:38,12:35,2:32,0:30,214,109,4,54,5,297,79,4,65,5,511,188,8,119,10,26.6%,1.004,1.167,2.171,0.817,1.133,1.95,2.058,1.491,3.549,0.262,0.304,0.566,2777,11.8%,1510,431,191,293,39.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Bobby Holik,1971,F,1314,326,421,747,1423,115,,,,,251,74,1,58,5,311,108,2,77,8,562,182,3,135,13,24.4%,,,,,,,,,,0.248,0.32,0.568,3345,9.8%,541,125,8352,6509,56.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,John Tonelli,1957,F,1028,325,511,836,911,221,,,,,249,72,4,47,1,389,119,3,78,5,638,191,7,125,6,22.8%,,,,,,,,,,0.316,0.497,0.813,1851,17.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Nels Stewart,1902,F,650,324,191,515,955,,,,,,297,27,0,70,11,162,28,1,31,2,459,55,1,101,13,10.7%,,,,,,,,,,0.498,0.294,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Paul MacLean,1958,F,719,324,349,673,968,-34,,,,,199,125,0,37,6,244,105,0,47,7,443,230,0,84,13,34.2%,,,,,,,,,,0.451,0.485,0.936,1513,21.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Hubert 'Pit' Martin,1943,F,1101,324,485,809,609,104,,,,,253,63,8,40,0,367,110,8,70,0,620,173,16,110,0,21.4%,,,,,,,,,,0.294,0.441,0.735,2205,14.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Vic Hadfield,1940,F,1004,323,389,712,1159,22,,,,,226,93,4,45,0,272,115,2,63,0,498,208,6,108,0,29.2%,,,,,,,,,,0.322,0.387,0.709,2874,11.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Petr S_kora,1976,F,1017,323,398,721,455,58,,,,,207,111,5,58,2,256,141,1,68,3,463,252,6,126,5,35.0%,,,,,,,,,,0.318,0.391,0.709,2747,11.8%,83,108,471,520,47.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Dale Hunter,1960,F,1407,323,697,1020,3565,101,,,,,221,92,10,42,4,527,153,17,104,8,748,245,27,146,12,24.0%,,,,,,,,,,0.23,0.495,0.725,2047,15.8%,,,832,739,52.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Olli Jokinen,1978,F,1231,321,429,750,1071,-132,18:09,14:07,2:51,1:09,211,97,13,54,13,276,151,2,64,9,487,248,15,118,22,33.1%,0.862,1.152,2.014,0.728,0.953,1.681,1.649,2.568,4.217,0.261,0.348,0.609,3343,9.6%,732,296,7849,9304,45.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Tony McKegney,1958,F,912,320,319,639,517,5,,,,,234,77,9,28,0,258,60,1,36,2,492,137,10,64,2,21.4%,,,,,,,,,,0.351,0.35,0.701,2090,15.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Bobby Carpenter,1963,F,1178,320,408,728,919,-82,,,,,231,82,7,40,2,299,101,8,56,3,530,183,15,96,5,25.1%,,,,,,,,,,0.272,0.346,0.618,2647,12.1%,,,1043,1132,47.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Justin Williams,1981,F,1264,320,477,797,766,110,16:52,13:34,2:27,0:50,240,74,6,44,3,350,120,7,70,6,590,194,13,114,9,24.3%,0.9,1.341,2.241,0.839,1.224,2.064,1.424,2.31,3.734,0.253,0.377,0.631,3308,9.7%,637,448,363,487,42.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Brad Marchand,1988,F,804,319,396,715,802,247,17:44,14:07,2:01,1:35,232,56,31,61,16,280,96,20,57,3,512,152,51,118,19,21.3%,1.341,1.665,3.006,1.226,1.48,2.706,2.07,3.548,5.618,0.397,0.493,0.889,1985,16.1%,684,270,203,319,38.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Clark Gillies,1954,F,958,319,378,697,1025,245,,,,,226,93,0,44,0,273,105,0,51,0,499,198,0,95,0,28.4%,,,,,,,,,,0.333,0.395,0.728,2253,14.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Dave Gagner,1964,F,946,318,401,719,1018,-65,,,,,196,115,7,36,4,239,152,10,58,1,435,267,17,94,5,37.1%,,,,,,,,,,0.336,0.424,0.76,2358,13.5%,,,970,937,50.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Dustin Brown,1984,F,1232,316,368,684,718,-33,17:59,14:01,2:39,1:18,205,105,6,42,9,269,92,7,56,5,474,197,13,98,14,28.8%,0.855,0.996,1.852,0.712,0.934,1.646,1.924,1.686,3.61,0.256,0.299,0.555,3214,9.8%,3544,356,218,284,43.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Pavel Datsyuk,1978,F,953,314,604,918,228,249,18:49,14:39,3:18,0:52,211,97,6,51,8,366,233,5,120,14,577,330,11,171,22,35.9%,1.05,2.019,3.069,0.907,1.573,2.479,1.847,4.436,6.283,0.329,0.634,0.963,2244,14.0%,558,339,7444,6378,53.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Todd Bertuzzi,1975,F,1159,314,456,770,1478,-44,,,,,203,110,1,41,7,327,128,1,70,12,530,238,2,111,19,30.9%,,,,,,,,,,0.271,0.393,0.664,2411,13.0%,663,145,869,1047,45.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Petr Klíma,1964,F,786,313,260,573,671,-122,,,,,230,77,6,36,5,153,107,0,29,2,383,184,6,65,7,32.1%,,,,,,,,,,0.398,0.331,0.729,1852,16.9%,,,0,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Don Lever,1952,F,1020,313,367,680,593,-248,,,,,226,77,10,23,0,274,86,7,43,0,500,163,17,66,0,24.0%,,,,,,,,,,0.307,0.36,0.667,2156,14.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Jamie Benn,1989,F,866,311,412,723,646,60,18:26,14:41,2:50,0:55,214,85,12,49,9,294,107,11,75,12,508,192,23,124,21,26.6%,1.168,1.547,2.715,1.009,1.387,2.396,2.074,2.611,4.684,0.359,0.476,0.835,2369,13.1%,1523,593,3112,3082,50.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Petr Nedved,1971,F,982,310,407,717,708,-21,,,,,217,80,13,39,4,270,129,8,54,8,487,209,21,93,12,29.1%,,,,,,,,,,0.316,0.414,0.73,2207,14.1%,51,29,4486,4214,51.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Denis Potvin,1953,D,1060,310,742,1052,1356,456,,,,,173,127,10,44,0,388,332,22,88,4,561,459,32,132,4,43.6%,,,,,,,,,,0.292,0.7,0.992,3050,10.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
